2theta_obs_deg,d_obs_A,I_rel_obs,hkl,2theta_calc_deg,d_calc_A,I_rel_calc
15.29,5.7918,28.7,0 1 0,15.28,5.7930,20.9
19.03,4.6587,81.5,1 0 0,19.03,4.6586,66.4
20.54,4.3205,2.4,,,,
22.94,3.8741,42.4,1 1 0,22.91,3.8778,37.2
23.58,3.7695,42.9,0 1 -1,23.57,3.7721,33.3
24.14,3.6844,42.4,0 1 1,24.11,3.6875,34.0
25.98,3.4269,57.5,1 -1 0,25.99,3.4249,50.8
26.99,3.3005,4.7,1 0 1,26.97,3.3033,2.6
28.71,3.1065,100.0,1 1 -1,28.70,3.1079,100.0
30.13,2.9638,86.5,1 1 1,30.11,2.9657,83.0
30.83,2.8975,27.7,0 2 0,30.85,2.8965,25.5
31.63,2.8261,67.8,1 -1 -1,31.68,2.8224,60.5
32.16,2.7814,57.0,1 -1 1,32.15,2.7822,54.6
34.34,2.6095,9.0,1 2 0,34.30,2.6124,10.1
35.66,2.5158,37.7,0 2 -1,35.66,2.5154,39.6
36.43,2.4645,28.3,0 2 1,36.42,2.4651,28.7
36.83,2.4386,45.7,0 0 2,36.86,2.4365,43.0
38.55,2.3336,27.3,1 -2 0,38.59,2.3311,30.5
39.87,2.2593,11.3,1 2 1,39.81,2.2625,10.2
41.04,2.1977,19.3,1 0 -2,41.09,2.1947,17.8
42.97,2.1030,22.2,1 -2 1,42.99,2.1020,16.0
43.59,2.0748,5.7,2 -1 0,43.64,2.0723,4.9
44.91,2.0168,12.7,2 1 1,44.92,2.0162,9.3
45.98,1.9721,9.4,1 -1 2,46.00,1.9712,9.8
46.81,1.9390,10.8,2 2 0,46.82,1.9389,13.0
48.20,1.8866,8.9,0 2 -2,48.21,1.8860,7.9
48.69,1.8687,19.8,1 3 0,48.67,1.8694,25.1
49.73,1.8318,10.8,2 2 -1,49.73,1.8320,14.4
51.55,1.7716,14.1,2 2 1,51.52,1.7725,16.5
52.47,1.7426,4.7,1 2 2,52.39,1.7450,4.2
53.17,1.7211,22.2,1 3 1,53.09,1.7236,26.1
53.54,1.7101,18.9,1 -3 0,53.58,1.7090,20.9
55.60,1.6516,17.4,2 0 2,55.60,1.6517,19.9
56.55,1.6260,14.1,0 0 3,56.62,1.6243,17.2
57.17,1.6099,14.0,2 -2 1,57.25,1.6080,16.7
57.97,1.5896,3.1,2 3 0,58.01,1.5886,3.6
59.35,1.5559,9.5,2 2 -2,59.43,1.5539,8.0
60.64,1.5258,9.9,1 1 -3,60.70,1.5245,11.7
61.26,1.5120,8.5,1 3 -2,61.29,1.5112,11.1
61.87,1.4984,9.9,3 1 -1,61.96,1.4966,11.0
63.07,1.4728,11.8,1 -1 -3,62.90,1.4764,9.7
63.87,1.4563,18.4,1 3 2,63.85,1.4567,10.9
65.07,1.4323,9.6,0 2 -3,65.14,1.4309,11.4
66.57,1.4035,19.3,1 -3 2,66.60,1.4031,10.9
67.89,1.3794,7.3,0 4 1,67.88,1.3796,7.8
68.91,1.3616,3.6,1 4 1,68.76,1.3641,2.6
70.57,1.3335,3.3,1 -2 3,70.66,1.3320,1.6
73.15,1.2927,5.1,3 3 0,73.16,1.2926,5.7
74.28,1.2757,5.5,2 4 -1,74.31,1.2754,6.6
74.44,1.2735,5.5,2 4 -1,74.31,1.2754,6.6
76.22,1.2481,3.6,2 4 1,76.20,1.2484,5.5
77.33,1.2330,3.2,3 -1 2,77.38,1.2323,3.4
78.37,1.2191,6.6,0 0 4,78.44,1.2182,5.5
