sample,2theta_obs_deg,d_obs_A,I_rel_obs,phase,hkl,2theta_calc_deg,I_rel_calc
4-1,21.34,4.1605,4.0,,,,
4-1,25.03,3.5552,19.0,Cu3Se2,(101),25.03,100.0
4-1,27.05,3.2931,73.6,Cu2-xSe,(111),27.07,58.2
4-1,27.85,3.2004,18.2,Cu3Se2,(200),27.86,52.3
4-1,28.71,3.1065,13.1,Cu3Se2,(111),28.70,54.3
4-1,31.14,2.8696,8.8,Cu3Se2,(210),31.22,19.7
4-1,32.49,2.7532,13.4,CuO,(110),32.50,6.1
4-1,35.57,2.5221,100.0,CuO,(111),35.55,81.1
4-1,38.76,2.3212,97.0,CuO,(111),38.73,100.0
4-1,39.84,2.2610,12.9,Cu3Se2,(220),39.80,61.3
4-1,42.20,2.1395,4.8,Cu3Se2,(002),42.24,22.9
4-1,44.94,2.0154,91.3,Cu2-xSe,(220),44.94,100.0
4-1,47.55,1.9107,7.7,Cu3Se2,(301),47.59,46.1
4-1,48.78,1.8653,23.5,CuO,(202),48.79,28.3
4-1,49.82,1.8286,14.3,Cu3Se2,(311),49.80,89.2
4-1,51.36,1.7775,9.2,Cu3Se2,(202),51.36,63.8
4-1,53.36,1.7156,24.1,Cu2-xSe,(311),53.25,27.8
4-1,58.31,1.5812,10.6,CuO,(202),58.35,14.6
4-1,61.69,1.5024,15.3,CuO,(113),61.69,20.0
4-1,66.29,1.4087,21.1,CuO,(311),66.20,15.1
4-1,68.14,1.3750,19.1,CuO,(220),68.05,13.7
4-1,72.19,1.3074,9.7,CuO,(311),72.36,7.5
4-1,72.35,1.3050,9.7,CuO,(311),72.36,7.5
4-1,75.24,1.2619,8.9,CuO,(222),75.27,6.4
4-1,79.48,1.2049,4.8,Cu3Se2,(511),79.52,19.7
1-1,20.79,4.2699,13.3,Cu3Se2,(001),20.76,25.1
1-1,25.03,3.5552,100.0,Cu3Se2,(101),25.03,100.0
1-1,26.59,3.3491,8.8,CuSe,(101),26.55,29.3
1-1,27.02,3.2968,24.8,Cu2-xSe,(111),27.04,58.2
1-1,27.85,3.2004,56.1,CuSe,(102),28.04,100.0
1-1,28.68,3.1097,62.5,Cu3Se2,(111),28.69,54.3
1-1,29.70,3.0058,3.8,,,,
1-1,31.23,2.8613,21.3,CuSe,(006),31.06,59.9
1-1,32.49,2.7532,2.4,CuO,(110),32.48,6.1
1-1,34.98,2.5628,18.4,Cu3Se2,(201),34.98,20.1
1-1,35.54,2.5242,11.5,CuO,(111),35.57,81.1
1-1,37.75,2.3812,8.1,Cu3Se2,(211),37.78,13.8
1-1,38.70,2.3247,10.5,CuO,(111),38.69,100.0
1-1,39.81,2.2626,44.3,Cu3Se2,(220),39.78,61.3
1-1,42.23,2.1380,18.1,Cu3Se2,(002),42.25,22.9
1-1,44.82,2.0207,46.6,Cu2-xSe,(220),44.89,100.0
1-1,45.31,1.9999,23.2,Cu3Se2,(221),45.28,24.2
1-1,46.04,1.9696,10.5,CuSe,(210),45.92,83.5
1-1,46.97,1.9330,13.4,Cu3Se2,(112),46.97,23.4
1-1,47.58,1.9095,32.7,Cu3Se2,(301),47.57,46.1
1-1,49.79,1.8297,62.8,Cu3Se2,(311),49.78,89.2
1-1,51.33,1.7785,44.8,Cu3Se2,(202),51.36,63.8
